Content-Container&body,suitcase
Product-Producer&None,None
Other&building,None
Member-Collection&horde,None
Instrument-Agency&users,None
Component-Whole&paintings,floors
Other&None,None
Instrument-Agency&None,None
Instrument-Agency&keyboards,None
Message-Topic&programme,None
Component-Whole&bounds,walls
Instrument-Agency&individuals,None
Cause-Effect&goals,revenue
Message-Topic&measures,None
Other&goshawks,cover
Product-Producer&official,plans
Other&staff,property
Message-Topic&deliberations,weekly
Entity-Origin&beer,barley
Cause-Effect&infection,None
Instrument-Agency&concept,servo
Entity-Origin&viewers,None
Component-Whole&shop,None
Message-Topic&mail,None
Member-Collection&student,None
Message-Topic&blog,None
Cause-Effect&damage,None
Cause-Effect&fire,collision
Instrument-Agency&None,None
Content-Container&seed,jar
Cause-Effect&body,radiation
Content-Container&suitcase,clothing
Cause-Effect&spill,None
Member-Collection&lawyer,member
Instrument-Agency&boy,None
Product-Producer&None,None
Component-Whole&pile,None
Other&storage,None
Other&None,None
Content-Container&blood,None
Entity-Destination&cells,None
Other&None,None
Instrument-Agency&None,None
Member-Collection&crowd,None
Entity-Origin&gold,None
Member-Collection&fraternity,chapters
Other&array,basket
Message-Topic&measures,None
Message-Topic&helve,None
Component-Whole&machine,drilling
Entity-Origin&pottery,vessel
Cause-Effect&elimination,riot
Product-Producer&craftsman,None
Entity-Destination&files,None
Content-Container&bottle,attractant
Other&therapy,None
Other&None,None
Message-Topic&None,None
Entity-Origin&bread,None
Other&employees,initiative
Product-Producer&material,carbon
Content-Container&suitcase,None
Message-Topic&plan,None
Content-Container&backpack,None
Entity-Origin&pea,law
Instrument-Agency&biotech,agrochemicals
Other&areas,poverty
Other&None,None
Other&armor,excrement
Other&inquiry,funding
Cause-Effect&sorrow,None
Component-Whole&talons,None
Message-Topic&survival,None
Instrument-Agency&army,None
Product-Producer&dog,music
Instrument-Agency&crane,operator
Message-Topic&film,philosophers
Cause-Effect&irritation,None
Component-Whole&runway,None
Other&smell,tree
Other&town,None
Component-Whole&album,None
Member-Collection&population,None
Instrument-Agency&castings,None
Content-Container&knobs,frame
Component-Whole&motor,None
Cause-Effect&None,None
Product-Producer&party,None
Cause-Effect&lymphomas,None
Product-Producer&investigators,papers
Other&children,marriage
Message-Topic&story,None
Product-Producer&car,manufacturer
Component-Whole&machine,None
Message-Topic&documentary,increase
Product-Producer&government,houses
Message-Topic&perspectives,None
Instrument-Agency&writer,None
Cause-Effect&headaches,caffeine
Other&politician,nepotism
Product-Producer&None,None
Product-Producer&computer,company
Component-Whole&steel,rod
Component-Whole&system,routings
Message-Topic&clergy,discussion
Cause-Effect&illness,None
Other&attention,None
Component-Whole&pillars,gravel
Cause-Effect&raid,None
Instrument-Agency&democrats,None
Component-Whole&spring,components
Cause-Effect&coverage,drugs
Cause-Effect&data,None
Product-Producer&portraits,None
Content-Container&soup,None
Message-Topic&jurisdictions,None
Message-Topic&chapter,None
Other&Marketing,subscribers
Component-Whole&system,None
Entity-Destination&waste,None
Message-Topic&environment,None
Message-Topic&piece,bunch
Product-Producer&factory,condoms
Message-Topic&study,None
Entity-Origin&settlers,None
Content-Container&frame,frame
Product-Producer&author,novel
Component-Whole&door,None
Component-Whole&None,None
Entity-Origin&flotilla,ship
Entity-Origin&taboo,syrup
Content-Container&jacket,None
Product-Producer&chimps,None
Message-Topic&plan,population
Cause-Effect&None,None
Message-Topic&guidelines,opinions
Entity-Destination&cocaine,cities
Member-Collection&hawks,finches
Product-Producer&app,None
Product-Producer&battalion,antibodies
Message-Topic&clause,None
Cause-Effect&disruption,floods
Other&safe,grief
Message-Topic&novel,None
Message-Topic&supplies,None
Component-Whole&alarm,battery
Cause-Effect&disruption,None
Instrument-Agency&detectives,None
Other&limits,cell
Cause-Effect&pollution,None
Cause-Effect&difficulties,monolithic
Entity-Destination&satellite,None
Instrument-Agency&batteries,team
Product-Producer&frame,None
Member-Collection&grenadiers,None
Entity-Destination&marriages,temple
Product-Producer&None,None
Entity-Destination&workers,families
Content-Container&protein,None
Instrument-Agency&men,None
Entity-Origin&None,None
Entity-Destination&boxes,users
Instrument-Agency&players,string
Message-Topic&conversation,None
Cause-Effect&medication,None
Entity-Destination&bird,fish
Cause-Effect&drinking,None
Entity-Origin&country,None
Content-Container&soda,None
Component-Whole&laser,firearm
Content-Container&box,None
Instrument-Agency&customer,suppliers
Product-Producer&song,None
Other&None,None
Other&ruins,None
Message-Topic&book,None
Message-Topic&chapters,film
Product-Producer&None,None
Product-Producer&Meurkens,musicians
Instrument-Agency&composer,None
Component-Whole&axe,blade
Content-Container&bottle,appendix
Other&sergeant,None
Entity-Destination&money,economy
Cause-Effect&breakouts,None
Other&leader,hiding
Instrument-Agency&None,None
Message-Topic&manuscripts,psychological
Instrument-Agency&players,stick
Other&gold,ring
Entity-Destination&programs,None
Entity-Destination&pilots,birds
Entity-Destination&telegram,executive
Message-Topic&report,past
Entity-Origin&Yogurt,dish
Message-Topic&book,communities
Message-Topic&None,None
Message-Topic&comments,None
Cause-Effect&eyelids,potentials
Cause-Effect&visit,None
Member-Collection&organization,corporation
Message-Topic&story,None
Message-Topic&date,None
Content-Container&packet,None
Cause-Effect&reforms,distress
Component-Whole&event,workshop
Other&mouse,prison
Cause-Effect&dehydration,None
Instrument-Agency&researchers,cement
Member-Collection&flush,mallards
Other&author,chairman
Message-Topic&list,cities
Entity-Destination&mass,toothpaste
Message-Topic&None,None
Message-Topic&discussion,scenarios
Other&steel,None
Instrument-Agency&activists,cages
Product-Producer&None,None
Product-Producer&textile,mill
Member-Collection&gaze,raccoons
Message-Topic&None,None
Message-Topic&report,technician
Entity-Origin&bear,swamps
Cause-Effect&injuries,bike-accident
Instrument-Agency&agency,generators
Other&None,None
Cause-Effect&housing,None
Entity-Destination&tooth,None
Product-Producer&text,book
Other&software,team
Member-Collection&clan,berserkers
Cause-Effect&injuries,None
Product-Producer&author,book
Product-Producer&None,None
Entity-Destination&shopping,malls
Other&team,advertisement
Message-Topic&Conversation,None
Component-Whole&mechanism,bottle
Component-Whole&shirt,None
Instrument-Agency&association,None
Component-Whole&floor,None
Cause-Effect&depression,None
Entity-Destination&nuclei,None
Component-Whole&engine,rope
Other&None,None
Instrument-Agency&states,None
Component-Whole&tree,None
Other&circle,None
Cause-Effect&suffering,family
Component-Whole&book,book
Component-Whole&configuration,None
Component-Whole&boat,None
Product-Producer&crows,None
Instrument-Agency&applications,None
Member-Collection&brigade,soldiers
Entity-Destination&viruses,labs
Content-Container&journal,box
Entity-Destination&tie,men
Component-Whole&None,None
Other&None,None
Product-Producer&director,blog
Entity-Destination&civilians,government
Content-Container&suitcase,None
Entity-Origin&culprit,data
Product-Producer&supremacy,None
Content-Container&bananas,None
Component-Whole&quilt,strips
Cause-Effect&None,None
Entity-Destination&founders,None
Product-Producer&workers,iconic
Instrument-Agency&people,None
Cause-Effect&None,None
Message-Topic&notes,discussion
Message-Topic&book,sustainability
Message-Topic&panelists,debate
Content-Container&figurine,chocolate
Component-Whole&outer,None
Component-Whole&None,None
Other&cycles,cycles
Entity-Origin&protein,molecule
Other&scratch,None
Entity-Destination&pipe,toilet
Component-Whole&puppet,show
Cause-Effect&profits,inflation
Message-Topic&decree,None
Cause-Effect&fire,earthquake
Entity-Origin&train,train
Product-Producer&worker,object
Product-Producer&None,None
Product-Producer&settlers,None
Entity-Origin&commandos,plant
Product-Producer&None,None
Message-Topic&None,None
Member-Collection&congress,congress
Message-Topic&subjects,None
Component-Whole&quarter,None
Cause-Effect&wave,None
Cause-Effect&swell,strength
Member-Collection&makeshift,None
Content-Container&teeth,wallet
Other&procession,None
Cause-Effect&acne,None
Entity-Origin&woman,office
Member-Collection&regiment,marksmen
Product-Producer&museum,director
Instrument-Agency&man,None
Message-Topic&None,None
Product-Producer&couple,None
Message-Topic&novels,None
Instrument-Agency&adventure,wizards
Entity-Origin&None,None
Other&downflow,None
Component-Whole&rod,piston
Message-Topic&paper,thesaurus
Instrument-Agency&bike,crate
Message-Topic&information,None
Content-Container&pack,None
Entity-Destination&space,space
Entity-Destination&peacekeepers,None
Other&team,regularity
Component-Whole&exhibition,collections
Product-Producer&roots,plant
Component-Whole&tooth,None
Product-Producer&None,None
Entity-Destination&birds,None
Other&galaxy,history
Product-Producer&tradition,None
Cause-Effect&wire,slight
Product-Producer&barrister-cum-writer,defender
Cause-Effect&None,None
Entity-Origin&probiotics,None
Content-Container&melamine,formula
Instrument-Agency&colliers,None
Product-Producer&agency,ads
Cause-Effect&droplets,coughing
Cause-Effect&gas,corrosion
Component-Whole&system,brain
Cause-Effect&department,accidents
Entity-Origin&None,None
Cause-Effect&Chest,indigestion
Entity-Origin&shoes,store
Content-Container&suitcase,marijuana
Message-Topic&programme,None
Message-Topic&advices,websites
Other&wetlands,None
Entity-Origin&swans,None
Instrument-Agency&None,None
Content-Container&currency,None
Content-Container&cooker,None
Cause-Effect&pain,None
Cause-Effect&mite,None
Instrument-Agency&impact,screwdriver
Message-Topic&intranet,None
Entity-Destination&data,system
Message-Topic&partnership,None
Component-Whole&piano,keys
Entity-Destination&kiosk,None
Cause-Effect&devastation,asteroid
Instrument-Agency&pieces,None
Message-Topic&document,None
Message-Topic&None,None
Entity-Destination&letter,agent
Entity-Destination&agencies,country
Product-Producer&Kids,forts
Message-Topic&marketing,advertising
Cause-Effect&fear,None
Component-Whole&point,None
Entity-Origin&plane,runway
Cause-Effect&None,None
Other&waters,None
Entity-Origin&Apricot,None
Other&Plants,None
Other&throw,cradle
Entity-Origin&drink,None
Message-Topic&performers,circus
Message-Topic&breakthrough,news
Other&None,None
Component-Whole&luff,None
Component-Whole&screen,None
Product-Producer&industry,None
Cause-Effect&immunizations,None
Instrument-Agency&None,None
Product-Producer&committee,factory
Other&jungle,cars
Instrument-Agency&calculator,None
Message-Topic&meeting,idea
Instrument-Agency&parents,suitcase
Content-Container&treasure,information
Cause-Effect&firm,None
Component-Whole&wheel,button
Message-Topic&exhibition,tea
Cause-Effect&thunderstorms,cancellation
Component-Whole&belly,fish
Component-Whole&ring,None
Message-Topic&piece,None
Cause-Effect&earthquake,None
Entity-Origin&None,None
Product-Producer&None,None
Content-Container&bomb,truck
Other&types,turbinates
Cause-Effect&chlorobenzene,separation
Entity-Origin&tumorous,None
Entity-Destination&licence,None
Cause-Effect&pollution,None
Entity-Origin&answers,computer
Instrument-Agency&party,None
Component-Whole&car,None
Message-Topic&project,None
Cause-Effect&germs,disease
Other&member,activity
Entity-Origin&None,None
Other&None,None
Other&None,None
Other&None,None
Other&None,None
Cause-Effect&scandal,calamities
Message-Topic&weeks,None
Cause-Effect&vaccine,injection
Member-Collection&None,None
Member-Collection&division,infantrymen
Member-Collection&committee,president
Entity-Origin&inhabitants,None
Content-Container&explosive,bag
Cause-Effect&stress,increase
Other&spices,pasta
Cause-Effect&None,None
Message-Topic&book,shelf
Other&bridge,None
Cause-Effect&ablation,None
Cause-Effect&miscarriages,None
Cause-Effect&influx,None
Component-Whole&parts,None
Content-Container&backpack,None
Member-Collection&grove,None
Instrument-Agency&joey,pouch
Component-Whole&Engineers,equations
Product-Producer&document,None
Product-Producer&list,None
Instrument-Agency&None,None
Entity-Destination&mice,trap
Other&return,None
Entity-Destination&teens,None
Cause-Effect&movement,identity
Other&lighting,shop
Entity-Origin&caravan,None
Entity-Destination&services,call
Component-Whole&microwave,popcorn
Component-Whole&charm,bus
Component-Whole&book,trunk
Other&designs,None
Message-Topic&statement,people
Product-Producer&department,None
Component-Whole&concert,composer
Instrument-Agency&spotter,beam
Other&trials,cells
Entity-Origin&flour,bin
Other&talent,mother
Other&recipe,None
Other&Harbor,case
Product-Producer&None,None
Entity-Destination&None,None
Message-Topic&realities,None
Cause-Effect&commotion,parrots
Product-Producer&company,orbit
Product-Producer&band,song
Component-Whole&None,None
Entity-Destination&wild,None
Cause-Effect&Sinusitis,anxiety
Entity-Origin&lemon,marmalade
Entity-Destination&millions,projects
Cause-Effect&churn,None
Other&None,None
Component-Whole&stem,None
Cause-Effect&cycles,None
Member-Collection&congregation,crocodiles
Other&fog,aircraft
Message-Topic&movie,punk
Instrument-Agency&kids,None
Message-Topic&campaign,None
Cause-Effect&perturbations,substorm
Entity-Destination&house,None
Member-Collection&battalion,infantrymen
Message-Topic&questionnaire,None
Component-Whole&program,clips
Message-Topic&GolTV,channel
Instrument-Agency&seconds,screwdriver
Message-Topic&debate,None
Cause-Effect&anxiety,None
Content-Container&handgun,None
Component-Whole&foot,toy
Instrument-Agency&children,suitcase
Cause-Effect&mortality,tree
Message-Topic&replies,None
Component-Whole&cockpit,crew
Entity-Origin&Rye,flour
Other&None,None
Instrument-Agency&None,None
Other&painter,marks
Product-Producer&author,None
Cause-Effect&infection,bacteria
Message-Topic&profits,books
Cause-Effect&environment,landforms
Instrument-Agency&None,None
Component-Whole&tree,nodes
Other&None,None
Product-Producer&man,list
Instrument-Agency&canal,plastics
Message-Topic&dangers,None
Content-Container&marsupials,None
Entity-Origin&skunks,heads
Member-Collection&scholarship,committee
Cause-Effect&guilty,None
Cause-Effect&destruction,None
Product-Producer&None,None
Message-Topic&resolution,planets
Entity-Destination&continent,None
Message-Topic&speech,None
Entity-Origin&adventurers,None
Component-Whole&pants,pocket
Other&identity,None
Entity-Destination&vote,None
Component-Whole&feeder,None
Cause-Effect&gas,None
Cause-Effect&hole,accumulation
Product-Producer&None,None
Cause-Effect&diverticulitis,pain
Cause-Effect&calm,None
Other&president,environment
Content-Container&None,None
Product-Producer&None,None
Cause-Effect&hormonal,None
Message-Topic&conference,prevention
Instrument-Agency&robot,operator
Content-Container&suitcase,bomb
Product-Producer&grandmother,None
Component-Whole&button,None
Content-Container&brain,skull
Other&system,troops
Product-Producer&information,None
Product-Producer&None,None
Content-Container&device,None
Member-Collection&slate,candidates
Cause-Effect&confrontation,None
Message-Topic&scepticism,sixties
Product-Producer&researcher,slide
Content-Container&substance,None
Cause-Effect&deaths,None
Entity-Origin&None,None
Component-Whole&None,None
Content-Container&letter,chest
Message-Topic&comment,None
Entity-Destination&None,None
Cause-Effect&burn,extremities
Instrument-Agency&None,None
Other&design,design
Component-Whole&river,None
Product-Producer&writer,memoir
Message-Topic&None,None
Member-Collection&farm,turkeys
Product-Producer&author,None
Cause-Effect&headaches,dizziness
Instrument-Agency&sledgehammer,cutter
Other&None,None
Component-Whole&brush,None
Entity-Destination&messages,email
Entity-Origin&mango,nectar
Cause-Effect&None,None
Instrument-Agency&None,None
Entity-Destination&copy,e-mail
Entity-Destination&ship,harbour
Entity-Destination&None,None
Component-Whole&hose,None
Message-Topic&parties,None
Other&ventures,None
Entity-Origin&Fish,eggs
Product-Producer&monkeys,None
Product-Producer&music,None
Message-Topic&books,None
Message-Topic&debate,None
Message-Topic&speech,heaves
Entity-Origin&flies,perforation
Message-Topic&allegations,None
Member-Collection&feature,directors
Other&None,None
Component-Whole&engine,None
Cause-Effect&populations,influx
Entity-Origin&None,None
Message-Topic&guide,chronological
Component-Whole&lamp,light
Product-Producer&Oil,reservoirs
Message-Topic&None,None
Other&None,None
Component-Whole&None,None
Message-Topic&questions,None
Cause-Effect&disease,virus
Other&None,None
Cause-Effect&allegations,suffocation
Other&None,None
Component-Whole&None,None
Product-Producer&statue,boy
Other&opportunity,material
Other&automaton,None
Product-Producer&note,None
Entity-Destination&map,safe
Entity-Origin&atom,None
Cause-Effect&None,None
Other&hospital,None
Instrument-Agency&lawnmower,None
Cause-Effect&shrinkage,None
Cause-Effect&discomfort,None
Instrument-Agency&surgeon,None
Content-Container&flask,None
Entity-Destination&None,None
Cause-Effect&stable,None
Cause-Effect&settlers,None
Product-Producer&patient,None
Cause-Effect&people,politicisation
Instrument-Agency&management,None
Other&Polar,extinction
Component-Whole&bulbs,None
Content-Container&kitchen,None
Component-Whole&implant,nanoparticles
Other&excitement,sum
Content-Container&contents,None
Other&retreat,damage
Cause-Effect&None,None
Other&researcher,bosses
Product-Producer&company,machines
Entity-Origin&None,None
Other&tree,None
Message-Topic&speech,argument
Entity-Origin&cheese,None
Cause-Effect&fire,explosion
Cause-Effect&exporter,heroin
Instrument-Agency&battery,computer
Other&Anti-gun,None
Entity-Destination&logs,design
Other&nights,None
Content-Container&bottle,None
Other&carpeting,pop
Other&audit,None
Component-Whole&kitchen,door
Message-Topic&contents,discussion
Member-Collection&tenant,owner
Message-Topic&articles,None
Cause-Effect&None,None
Entity-Origin&hydrogen,None
Other&topical,act
Content-Container&body,None
Other&NINE-year-old,None
Component-Whole&weaver,None
Content-Container&flask,None
Message-Topic&None,None
Member-Collection&None,None
Entity-Origin&None,None
Cause-Effect&exposure,None
Other&challenges,None
Component-Whole&kitchen,fryer
Entity-Origin&steam,None
Instrument-Agency&artist,piano
Component-Whole&car,None
Instrument-Agency&None,None
Cause-Effect&acid,alarm
Product-Producer&yeast,manufacturer
Component-Whole&community,None
Other&None,None
Cause-Effect&None,None
Instrument-Agency&students,scheme
Component-Whole&castle,None
Cause-Effect&risks,None
Other&atmosphere,None
Instrument-Agency&victim,conveyor
Component-Whole&bulldozer,None
Content-Container&contents,blueberries
Content-Container&marrow,blood
Component-Whole&marinade,None
Product-Producer&None,None
Component-Whole&None,None
Cause-Effect&speech,exposure
Entity-Origin&country,None
Instrument-Agency&principles,None
Product-Producer&dogs,None
Entity-Destination&dollar,None
Cause-Effect&vaccine,None
Component-Whole&None,None
Instrument-Agency&crane,None
Instrument-Agency&None,None
Instrument-Agency&gasoline,motor
Cause-Effect&emission,None
Other&None,None
Content-Container&None,None
Other&seeing,projects
Instrument-Agency&supports,None
Other&guarantees,compiler
Product-Producer&vaccine,maker
Other&None,None
Cause-Effect&None,None
Component-Whole&Evaluators,generalization
Other&None,None
Other&None,None
Other&floor,team
Content-Container&jewel,None
Cause-Effect&valve,None
Product-Producer&company,company
Component-Whole&None,None
Other&tests,questions
Other&None,None
Other&segment,aardvarks
Other&shell,None
Product-Producer&maker,None
Product-Producer&servant,jewels
Instrument-Agency&device,technology
Entity-Origin&fruit,None
Instrument-Agency&company,policy
Entity-Origin&Fruit,fruit
Component-Whole&box,tubes
Content-Container&building,None
Cause-Effect&move,None
Instrument-Agency&man,None
Message-Topic&theory,None
Instrument-Agency&courts,None
Instrument-Agency&president,pen
Other&love,kit
Other&mood,car
Message-Topic&advertising,wine
Entity-Origin&sub-optimal,None
Component-Whole&building,equipment
Cause-Effect&cell,division
Component-Whole&None,None
Instrument-Agency&officer,None
Entity-Origin&None,None
Component-Whole&None,None
Component-Whole&event,None
Component-Whole&slivers,None
Content-Container&newspaper,box
Other&system,terrorist
Component-Whole&None,None
Component-Whole&tram,None
Component-Whole&lodge,colonial
Other&None,None
Instrument-Agency&None,None
Instrument-Agency&gas,None
Product-Producer&documentary,maker
Cause-Effect&success,None
Entity-Origin&None,None
Content-Container&plastic,None
Component-Whole&package,None
Content-Container&box,None
Other&indicator,car
Component-Whole&filament,tint
Cause-Effect&None,None
Instrument-Agency&hairdresser,scissors
Message-Topic&monitor,None
Message-Topic&citation,reasons
Component-Whole&carpenter,shoulder
Instrument-Agency&gasoline,train
Product-Producer&tokotoko,None
Cause-Effect&laughter,None
Message-Topic&words,None
Instrument-Agency&instruments,beam
Component-Whole&axe,None
Other&None,None
Entity-Origin&None,None
Cause-Effect&None,None
Instrument-Agency&tailor,garment
Instrument-Agency&machines,None
Cause-Effect&shrinkage,cooling
Cause-Effect&transmitter,wave
Other&None,None
Entity-Origin&Rain,None
Cause-Effect&plants,None
Message-Topic&debate,None
Cause-Effect&None,None
Instrument-Agency&None,None
Other&improvement,None
Cause-Effect&shrinkage,therapy
Component-Whole&None,None
Instrument-Agency&taxi,car
Member-Collection&region,None
Entity-Destination&money,None
Product-Producer&river,grist
Other&child,closet
Cause-Effect&None,None
Cause-Effect&satisfaction,muscles
Component-Whole&media,None
Content-Container&box,None
Cause-Effect&death,None
Content-Container&box,pen
Instrument-Agency&architect,None
Message-Topic&pictures,anecdotes
Component-Whole&incisor,teeth
Instrument-Agency&engine,None
Other&InterSense,precision
Other&None,None
Component-Whole&room,titles
Component-Whole&door,None
Other&flashlights,None
Component-Whole&tree,thorns
Entity-Destination&sample,package
Component-Whole&kitchen,None
Instrument-Agency&None,None
Cause-Effect&None,None
Other&None,None
Instrument-Agency&micropump,evaporation
Cause-Effect&damage,None
Product-Producer&artist,None
Product-Producer&team,None
Other&None,None
Product-Producer&engineers,None
Entity-Origin&steam,boiler
Content-Container&list,books
Component-Whole&rig,None
Other&None,None
Cause-Effect&fuel,thrust
Cause-Effect&planks,waste
Message-Topic&paper,formats
Message-Topic&book,bomb
Component-Whole&display,None
Cause-Effect&movement,None
Component-Whole&site,None
Other&shape,cavity
Cause-Effect&beam,light
Component-Whole&knitting,pin
Cause-Effect&None,None
Instrument-Agency&citizens,None
Entity-Origin&tailor,balcony
Entity-Origin&guy,None
Instrument-Agency&pathologists,None
Instrument-Agency&authors,None
Cause-Effect&material,None
Other&supplier,None
Content-Container&boxes,cards
Product-Producer&photoheliograph,gallery
Other&test,spacecraft
Cause-Effect&evacuation,None
Content-Container&contents,box
Product-Producer&pirate,None
Cause-Effect&infection,fever
Message-Topic&study,None
Cause-Effect&signal,None
Entity-Destination&water,None
Product-Producer&company,None
Component-Whole&chisel,cracks
Product-Producer&corbel,None
Product-Producer&committee,None
Product-Producer&manufacturer,None
Member-Collection&prepares,teachers
Component-Whole&None,None
Entity-Origin&plants,bees
Entity-Destination&pancreas,None
Entity-Origin&None,None
Other&position,None
Instrument-Agency&airships,car
Cause-Effect&activation,None
Product-Producer&vodka,None
Product-Producer&prawns,maker
Entity-Origin&woman,room
Entity-Origin&merits,wine
Cause-Effect&ingredients,None
Entity-Origin&vegetable,oils
Other&None,None
Content-Container&box,None
Instrument-Agency&ancients,None
Cause-Effect&radiation,envelope
Component-Whole&crust,None
Other&None,None
Member-Collection&seasons,farmers
Component-Whole&None,None
Cause-Effect&joy,None
Other&None,None
Instrument-Agency&detainee,None
Other&None,None
Other&taxes,seller
Cause-Effect&None,None
Instrument-Agency&broadsword,units
Other&None,None
Message-Topic&findings,satisfaction
Entity-Origin&None,None
Instrument-Agency&experimenters,None
Instrument-Agency&ballplayers,None
Other&background,None
Product-Producer&brothers,alphabet
Entity-Origin&None,None
Instrument-Agency&Thieves,cutters
Entity-Destination&shell,None
Product-Producer&None,None
Message-Topic&information,talks
Component-Whole&cave,None
Other&island,owner
Entity-Origin&country,None
Other&watchmaker,hands
Instrument-Agency&mixer,None
Instrument-Agency&None,None
Other&fulfillment,findings
Component-Whole&study,results
Entity-Origin&None,None
Component-Whole&sink,None
Other&dome,None
Product-Producer&artists,figurines
Component-Whole&kitchen,boiler
Other&None,None
Component-Whole&scissors,acid
Cause-Effect&panic,None
Entity-Origin&sauce,None
Other&None,None
Content-Container&desk,None
Content-Container&contents,bar
Other&None,None
Product-Producer&proposal,None
Other&procedure,None
Product-Producer&decedent,company
Component-Whole&observatory,None
Instrument-Agency&boys,machine
Instrument-Agency&classes,None
Component-Whole&rituals,None
Other&None,None
Message-Topic&questions,questions
Entity-Destination&candy,jar
Other&proposal,project
Product-Producer&None,None
Component-Whole&clock,None
Entity-Origin&wine,wine
Entity-Origin&oil,None
Message-Topic&recommendations,None
Content-Container&entrails,None
Content-Container&envelope,None
Component-Whole&library,None
Instrument-Agency&ghosts,None
Cause-Effect&brain,therapy
Other&None,None
Message-Topic&date,payment
Cause-Effect&None,None
Instrument-Agency&None,None
Cause-Effect&valve,None
Entity-Destination&stolen,alert
Instrument-Agency&None,None
Member-Collection&None,None
Component-Whole&kitchen,None
Content-Container&box,None
Product-Producer&sculptor,None
Other&view,bridge
Cause-Effect&radiant,debris
Other&riches,producer
Other&kitchen,kids
Message-Topic&debate,questions
Cause-Effect&profit,None
Content-Container&money,shoe
Product-Producer&linoleum,party
Message-Topic&excerpts,None
Content-Container&contents,dispensing
Other&None,None
Cause-Effect&jobs,relocation
Component-Whole&aircraft,wings
Content-Container&paper,binder
Product-Producer&data,None
Instrument-Agency&founders,None
Cause-Effect&rain,None
Cause-Effect&None,None
Instrument-Agency&citizens,None
Other&None,None
Cause-Effect&None,None
Entity-Origin&oil,seeds
Cause-Effect&fissure,None
Cause-Effect&None,None
Product-Producer&guy,coffee
Entity-Origin&None,None
Component-Whole&wave,None
Entity-Origin&ruins,monument
Component-Whole&None,None
Product-Producer&manufacturer,information
Instrument-Agency&midwife,birth
Content-Container&bottle,notebook
Cause-Effect&exporter,heroin
Message-Topic&book,None
Cause-Effect&afterglow,shock
Component-Whole&car,None
Message-Topic&data,vocabulary
Other&games,None
Entity-Origin&None,None
Component-Whole&conference,None
Component-Whole&design,None
Instrument-Agency&friend,None
Entity-Destination&substance,whale
Cause-Effect&dose,None
Instrument-Agency&researchers,None
Product-Producer&biologists,protein
Entity-Destination&food,None
Entity-Origin&land,cattle
Content-Container&butter,None
Instrument-Agency&tools,None
Other&None,None
Message-Topic&story,wine
Other&person,tree
Content-Container&shelves,titles
Component-Whole&sky,None
Component-Whole&arm,None
Content-Container&crypt,tomb
Instrument-Agency&login,administrator
Instrument-Agency&oil,None
Message-Topic&script,None
Component-Whole&plane,roller
Entity-Origin&coffee,tea
Instrument-Agency&charity,None
Cause-Effect&anger,None
